C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 288, total of 600, loss 0.004657965153455734
communicate round 289, total of 600, loss 0.004955295007675886
communicate round 290, total of 600, loss 0.00379957421682775
communicate round 291, total of 600, loss 0.003759650280699134
communicate round 292, total of 600, loss 0.003733442397788167
communicate round 293, total of 600, loss 0.0037499184254556894
communicate round 294, total of 600, loss 0.00375500344671309
communicate round 295, total of 600, loss 0.00511421961709857
communicate round 296, total of 600, loss 0.0047610849142074585
communicate round 297, total of 600, loss 0.003631628816947341
communicate round 298, total of 600, loss 0.0036018979735672474
communicate round 299, total of 600, loss 0.003754810430109501
communicate round 300, total of 600, loss 0.0037289040628820658
communicate round 301, total of 600, loss 0.004012878984212875
communicate round 302, total of 600, loss 0.003712077159434557
communicate round 303, total of 600, loss 0.003636742476373911
communicate round 304, total of 600, loss 0.003628476057201624
communicate round 305, total of 600, loss 0.004535664338618517
communicate round 306, total of 600, loss 0.0037967569660395384
communicate round 307, total of 600, loss 0.003965005744248629
communicate round 308, total of 600, loss 0.0037395597901195288
communicate round 309, total of 600, loss 0.00376835442148149
communicate round 310, total of 600, loss 0.0037622321397066116
communicate round 311, total of 600, loss 0.003767479443922639
communicate round 312, total of 600, loss 0.003804112086072564
communicate round 313, total of 600, loss 0.0038060215301811695
communicate round 314, total of 600, loss 0.004135660361498594
communicate round 315, total of 600, loss 0.004684204235672951
communicate round 316, total of 600, loss 0.0037373644299805164
communicate round 317, total of 600, loss 0.003764174412935972
communicate round 318, total of 600, loss 0.0038062245585024357
communicate round 319, total of 600, loss 0.0037359842099249363
communicate round 320, total of 600, loss 0.004046649672091007
communicate round 321, total of 600, loss 0.003856606548652053
communicate round 322, total of 600, loss 0.0038046683184802532
communicate round 323, total of 600, loss 0.0037736152298748493
communicate round 324, total of 600, loss 0.0037700149696320295
communicate round 325, total of 600, loss 0.004203950986266136
communicate round 326, total of 600, loss 0.0038708525244146585
communicate round 327, total of 600, loss 0.0037833251990377903
communicate round 328, total of 600, loss 0.003747294656932354
communicate round 329, total of 600, loss 0.003836009418591857
communicate round 330, total of 600, loss 0.0037832404486835003
communicate round 331, total of 600, loss 0.003807511879131198
communicate round 332, total of 600, loss 0.0038235157262533903
communicate round 333, total of 600, loss 0.004264312330633402
communicate round 334, total of 600, loss 0.00383911095559597
communicate round 335, total of 600, loss 0.003800782607868314
communicate round 336, total of 600, loss 0.003938494250178337
communicate round 337, total of 600, loss 0.00374715612269938
communicate round 338, total of 600, loss 0.003803103929385543
communicate round 339, total of 600, loss 0.0037393029779195786
communicate round 340, total of 600, loss 0.003779108403250575
communicate round 341, total of 600, loss 0.00376658933237195
communicate round 342, total of 600, loss 0.0038769952952861786
communicate round 343, total of 600, loss 0.003807221306487918
communicate round 344, total of 600, loss 0.0038239990826696157
communicate round 345, total of 600, loss 0.003919991664588451
communicate round 346, total of 600, loss 0.003913135267794132
communicate round 347, total of 600, loss 0.0038457787595689297
communicate round 348, total of 600, loss 0.00398876890540123
communicate round 349, total of 600, loss 0.0038227045442909002
communicate round 350, total of 600, loss 0.003812454640865326
communicate round 351, total of 600, loss 0.003934001084417105
communicate round 352, total of 600, loss 0.0037508069071918726
communicate round 353, total of 600, loss 0.006281507201492786
communicate round 354, total of 600, loss 0.0036654893774539232
communicate round 355, total of 600, loss 0.003873871872201562
communicate round 356, total of 600, loss 0.003689668606966734
communicate round 357, total of 600, loss 0.0037733535282313824
communicate round 358, total of 600, loss 0.003711557714268565
communicate round 359, total of 600, loss 0.0037362384609878063
