C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 488, total of 500, loss 0.004135998897254467
communicate round 489, total of 500, loss 0.005312271416187286
communicate round 490, total of 500, loss 0.004422700963914394
communicate round 491, total of 500, loss 0.0055130040273070335
communicate round 492, total of 500, loss 0.004155934788286686
communicate round 493, total of 500, loss 0.004039335995912552
communicate round 494, total of 500, loss 0.004119751509279013
communicate round 495, total of 500, loss 0.004122248385101557
communicate round 496, total of 500, loss 0.004070751368999481
communicate round 497, total of 500, loss 0.004912898875772953
communicate round 498, total of 500, loss 0.004292202647775412
communicate round 499, total of 500, loss 0.004475509747862816
communicate round 500, total of 500, loss 0.004028715193271637
best epoch 464 and val loss 0.003970107529312372
60
user: user257 mape: 79.49663996696472, rmse: 0.22700181603431702, mae: 0.15744177997112274
user: user259 mape: 108.65005254745483, rmse: 0.2644423842430115, mae: 0.19438964128494263
user: user260 mape: 99.50010776519775, rmse: 0.4861506521701813, mae: 0.3206438720226288
user: user262 mape: 122.33078479766846, rmse: 0.10043182224035263, mae: 0.08402550965547562
user: user266 mape: 160.65229177474976, rmse: 0.23405863344669342, mae: 0.16292068362236023
user: user268 mape: 105.78368902206421, rmse: 0.36368533968925476, mae: 0.24888601899147034
user: user269 mape: 72.87618517875671, rmse: 0.5384575724601746, mae: 0.37515467405319214
user: user271 mape: 155.82220554351807, rmse: 0.1716153770685196, mae: 0.11025167256593704
user: user274 mape: 99.84660148620605, rmse: 0.18931640684604645, mae: 0.13905206322669983
user: user276 mape: 56.132227182388306, rmse: 0.29307594895362854, mae: 0.21392135322093964
user: user278 mape: 79.92426753044128, rmse: 0.28563690185546875, mae: 0.18568989634513855
user: user280 mape: 95.26670575141907, rmse: 0.168351948261261, mae: 0.1183495968580246
user: user295 mape: 93.8880443572998, rmse: 0.11774405092000961, mae: 0.09526146203279495
user: user298 mape: 32.51154124736786, rmse: 0.04898415878415108, mae: 0.042523715645074844
user: user303 mape: 160.6000304222107, rmse: 0.1391497403383255, mae: 0.11263437569141388
user: user468 mape: 58.54440927505493, rmse: 0.1427186131477356, mae: 0.1039990708231926
user: user469 mape: 47.33715355396271, rmse: 0.6933706402778625, mae: 0.5160603523254395
user: user471 mape: 101.504647731781, rmse: 0.34434276819229126, mae: 0.22971315681934357
user: user475 mape: 136.91072463989258, rmse: 0.36189284920692444, mae: 0.18489354848861694
user: user478 mape: 54.814213514328, rmse: 0.10728173702955246, mae: 0.08554907143115997
user: user480 mape: 96.18858098983765, rmse: 0.23399677872657776, mae: 0.17237107455730438
user: user498 mape: 96.41228914260864, rmse: 0.11049613356590271, mae: 0.0910060703754425
user: user499 mape: 113.58811855316162, rmse: 0.2320447713136673, mae: 0.15246082842350006
user: user500 mape: 161.31614446640015, rmse: 0.10348521173000336, mae: 0.08466753363609314
user: user501 mape: 143.36363077163696, rmse: 0.11549240350723267, mae: 0.09522119909524918
user: user502 mape: 133.87234210968018, rmse: 0.08466725796461105, mae: 0.07283720374107361
user: user504 mape: 275.25718212127686, rmse: 0.07864513993263245, mae: 0.06966923922300339
user: user505 mape: 83.66073966026306, rmse: 0.18260113894939423, mae: 0.13968992233276367
user: user506 mape: 152.95268297195435, rmse: 0.10222896188497543, mae: 0.07868080586194992
user: user507 mape: 279.35731410980225, rmse: 0.08895700424909592, mae: 0.08115868270397186
user: user509 mape: 108.3127498626709, rmse: 0.14499342441558838, mae: 0.09319896996021271
user: user515 mape: 100.85506439208984, rmse: 0.10550297796726227, mae: 0.08632689714431763
user: user516 mape: 243.8847541809082, rmse: 0.14190177619457245, mae: 0.11245660483837128
user: user549 mape: 63.38474750518799, rmse: 0.3988620936870575, mae: 0.2827376425266266
user: user578 mape: 143.4812307357788, rmse: 0.21893666684627533, mae: 0.11138916015625
user: user594 mape: 95.15280723571777, rmse: 0.5720552802085876, mae: 0.29212498664855957
user: user596 mape: 73.06809425354004, rmse: 0.24503760039806366, mae: 0.16238847374916077
